Admission grade,Age at enrollment,Application Mode,Application order,Course,Curricular units 1st sem (approved),Curricular units 1st sem (credited),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Curricular units 1st sem (grade),Curricular units 1st sem (without evaluations),Curricular units 2nd sem (approved),Curricular units 2nd sem (credited),Curricular units 2nd sem (enrolled),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (grade),Curricular units 2nd sem (without evaluations),Daytime/evening attendance,Debtor,Displaced,Educational special needs,Father's occupation,Father's qualification,Sum of GDP,Gender,Inflation rate,International,Marital status,Mother's occupation,Mother's qualification,Nationality Desc,Previous qualification,Previous qualification (grade),Scholarship holder,Target,Tuition fees up to date,Unemployment rate
126.7,19,1st phase - general contingent,1,Social Service,4,0,6,11,12.75,0,6,0,6,7,11.33333333,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.32,Female,2.6,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,126,No,Graduate,Yes,7.6
139.2,18,1st phase - general contingent,2,Social Service,6,0,6,7,13.83333333,0,6,0,6,6,14,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,136,No,Graduate,Yes,9.4
152.4,18,1st phase - general contingent,1,Social Service,6,0,6,8,15.5,0,6,0,6,7,14.28571429,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-0.92,Female,0.3,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,165,Yes,Graduate,Yes,16.2
135.8,19,1st phase - general contingent,2,Social Service,6,0,6,8,12.71428571,0,5,0,6,12,11,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.79,Female,-0.3,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,147,Yes,Dropout,Yes,13.9
108.7,18,1st phase - general contingent,1,Social Service,5,0,6,9,11,0,0,0,6,12,0,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,2.02,Male,0.6,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,116,No,Dropout,Yes,11.1
120.8,19,1st phase - general contingent,3,Social Service,6,0,6,7,12.28571429,0,6,0,6,7,12.83333333,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.79,Female,0.5,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,126,No,Graduate,Yes,12.4
118.9,19,1st phase - general contingent,1,Social Service,5,0,6,8,11.66666667,0,5,0,6,9,12.66666667,0,Daytime,No,Yes,No,Installation and Machine Operators and Assembly Workers,Secondary Education - 12th Year of Schooling or Equivalent,1.79,Female,0.5,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,121,Yes,Graduate,Yes,12.4
116.5,19,1st phase - general contingent,1,Social Service,6,0,6,6,13,0,6,0,6,6,14.16666667,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.79,Female,0.5,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,128,Yes,Graduate,Yes,12.4
141.7,22,1st phase - general contingent,1,Social Service,6,0,6,6,12.66666667,0,6,0,6,6,13.83333333,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Male,1.4,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,127,No,Dropout,Yes,10.8
125.2,20,1st phase - general contingent,1,Social Service,6,0,6,7,11.66666667,0,6,0,6,10,11.33333333,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,0.32,Female,2.6,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,136,No,Graduate,Yes,7.6
257.1,38,1st phase - general contingent,4,Social Service,11,0,12,19,23.37142857,0,12,0,12,15,23.83333333,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,2.11,Female,3.1,No,Single,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,262,No,Graduate,Yes,20
102,20,1st phase - general contingent,1,Social Service,6,0,6,7,13.66666667,0,6,0,6,7,14.57142857,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,2.02,Female,0.6,No,Single,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133.1,Yes,Graduate,Yes,11.1
128.8,18,1st phase - general contingent,1,Social Service,5,0,6,10,11.6,0,6,0,6,6,11.16666667,0,Daytime,No,Yes,No,Intermediate Level Technicians and Professions,Secondary Education - 12th Year of Schooling or Equivalent,1.74,Male,1.4,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,141,No,Graduate,Yes,10.8
115.1,19,1st phase - general contingent,1,Social Service,6,0,6,10,10.83333333,0,6,0,6,7,12.14285714,0,Daytime,No,Yes,No,Legislative/Executive Directors and Managers,Secondary Education - 12th Year of Schooling or Equivalent,2.02,Female,0.6,No,Single,Legislative/Executive Directors and Managers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,121,No,Graduate,Yes,11.1
136.7,22,1st phase - general contingent,1,Social Service,4,0,6,11,12.5,1,3,0,6,13,13.66666667,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Legislative/Executive Directors and Managers,Higher Education - Degree,Portuguese,Secondary education,157,No,Enrolled,Yes,9.4
124.8,19,1st phase - general contingent,4,Social Service,6,0,6,6,13,0,5,0,6,8,13.4,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,3.51,Female,1.4,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,130,No,Graduate,Yes,8.9
124.5,18,1st phase - general contingent,1,Social Service,4,0,6,10,12.4,0,6,0,6,8,12.5,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.79,Female,0.5,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,128,Yes,Graduate,Yes,12.4
120.3,19,1st phase - general contingent,1,Social Service,2,0,6,12,13,0,5,0,6,8,11.6,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Female,2.6,No,Single,Student,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,128,No,Graduate,Yes,7.6
135,20,1st phase - general contingent,1,Social Service,6,0,6,6,13.83333333,0,6,0,6,6,11.83333333,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,135,No,Graduate,Yes,10.8
127.9,19,1st phase - general contingent,1,Social Service,6,0,6,7,13.71428571,0,6,0,6,6,13.16666667,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,-1.7,Female,3.7,No,Single,Farmers and Skilled Agriculture/Fisheries/Forestry Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,145,No,Graduate,Yes,12.7
125.7,19,1st phase - general contingent,5,Social Service,6,0,6,8,11,0,3,0,6,13,11,0,Daytime,No,Yes,No,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,126,Yes,Graduate,Yes,9.4
148.9,18,1st phase - general contingent,1,Social Service,6,0,6,6,13.66666667,0,6,0,6,6,13,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,145,Yes,Graduate,Yes,10.8
136.1,18,1st phase - general contingent,1,Social Service,6,0,6,8,13.85714286,0,6,0,6,6,15,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,0.79,Female,-0.3,No,Single,Farmers and Skilled Agriculture/Fisheries/Forestry Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,142,No,Graduate,Yes,13.9
103.5,20,1st phase - general contingent,1,Social Service,3,0,6,13,11.2,0,4,0,6,9,12,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,-0.92,Female,0.3,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,107,No,Enrolled,Yes,16.2
129.9,20,1st phase - general contingent,1,Social Service,5,0,6,7,13.2,0,6,0,6,6,12.66666667,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,132,No,Enrolled,Yes,10.8
155.5,18,1st phase - general contingent,1,Social Service,6,0,6,7,12.83333333,0,6,0,6,6,12.16666667,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,160,Yes,Graduate,Yes,10.8
118.2,19,1st phase - general contingent,2,Social Service,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-0.92,Female,0.3,No,Single,Administrative staff,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,122,No,Dropout,Yes,16.2
121.7,18,1st phase - general contingent,1,Social Service,0,0,6,14,0,0,4,0,6,9,11,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.32,Female,2.6,No,Single,Administrative staff,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,135,Yes,Enrolled,Yes,7.6
112.9,19,1st phase - general contingent,1,Social Service,6,0,6,7,11.85714286,0,6,0,6,8,13.14285714,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.79,Female,0.5,No,Single,Installation and Machine Operators and Assembly Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,115,Yes,Graduate,Yes,12.4
103.5,20,1st phase - general contingent,1,Social Service,6,0,6,7,12,0,6,0,6,7,13,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.79,Female,0.5,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,107,No,Graduate,Yes,12.4
133.2,19,1st phase - general contingent,1,Social Service,5,0,6,8,11,0,5,0,6,13,11.4,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.32,Female,2.6,No,Single,Student,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,136,No,Graduate,Yes,7.6
120.2,20,1st phase - general contingent,1,Social Service,5,0,6,9,11.8,0,4,0,6,10,11.5,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,0.32,Female,2.6,No,Single,Student,Unknown,Portuguese,Secondary education,123,No,Dropout,Yes,7.6
110.5,22,1st phase - general contingent,1,Social Service,6,0,6,6,12.16666667,0,6,0,6,6,12.5,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.79,Female,0.5,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,108,Yes,Graduate,Yes,12.4
247.5,39,1st phase - general contingent,5,Social Service,12,0,12,15,25.83333333,0,12,0,12,13,25.26190476,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,5.53,Female,2,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,259,Yes,Graduate,Yes,20
136.3,18,1st phase - general contingent,1,Social Service,6,0,6,8,12.5,0,6,0,6,7,11.5,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.74,Male,1.4,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,130,No,Graduate,Yes,10.8
121.7,21,1st phase - general contingent,2,Social Service,5,0,6,9,12.33333333,0,5,0,6,7,11.8,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.79,Female,-0.3,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,136,Yes,Graduate,Yes,13.9
113.5,18,1st phase - general contingent,1,Social Service,6,0,6,6,13.16666667,0,6,0,6,7,14.14285714,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,2.02,Female,0.6,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,117,Yes,Graduate,Yes,11.1
128.4,18,1st phase - general contingent,4,Social Service,6,0,6,6,12.5,0,6,0,6,6,11.66666667,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Female,1.4,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,134,Yes,Graduate,Yes,10.8
129.6,19,1st phase - general contingent,2,Social Service,6,0,6,10,11.125,0,6,0,6,7,11.85714286,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Male,2.6,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,124,No,Graduate,Yes,7.6
99.3,21,1st phase - general contingent,2,Social Service,5,0,6,8,12.4,0,6,0,6,6,12,0,Daytime,No,Yes,No,"Skilled Workers in Industry, Construction and Craftsmen",Secondary Education - 12th Year of Schooling or Equivalent,1.79,Female,0.5,No,Single,"Skilled Workers in Industry, Construction and Craftsmen",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,100,No,Graduate,Yes,12.4
121.5,18,1st phase - general contingent,5,Social Service,6,0,6,8,11.33333333,0,6,0,6,6,11.66666667,0,Daytime,No,Yes,No,Specialists in Intellectual and Scientific Activities,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Female,2.6,No,Single,Student,8th year of schooling,Portuguese,Secondary education,126,No,Graduate,Yes,7.6
150.8,27,1st phase - general contingent,1,Social Service,2,0,6,13,11,0,1,0,6,14,11,0,Daytime,No,Yes,No,Student,Basic education 1st cycle (4th/5th year) or equivalent,0.32,Female,2.6,No,Single,Student,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,170,No,Dropout,Yes,7.6
137,19,1st phase - general contingent,1,Social Service,0,0,6,10,0,4,0,0,6,0,0,0,Daytime,No,Yes,No,Student,Basic education 1st cycle (4th/5th year) or equivalent,0.32,Female,2.6,No,Single,Student,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,133.1,No,Dropout,Yes,7.6
127.4,20,1st phase - general contingent,4,Social Service,6,0,6,8,11.16666667,0,6,0,6,6,11.33333333,0,Daytime,No,Yes,No,Student,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Female,2.6,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,127,No,Graduate,Yes,7.6
119.1,18,1st phase - general contingent,1,Social Service,4,0,6,9,11,0,4,0,6,9,10.75,0,Daytime,No,Yes,No,Student,Unknown,0.32,Female,2.6,No,Single,Student,Unknown,Portuguese,Secondary education,132,No,Graduate,Yes,7.6
134.4,18,1st phase - general contingent,1,Social Service,6,0,6,6,12.16666667,0,6,0,6,9,13.66666667,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,-3.12,Female,-0.8,No,Single,Administrative staff,Unknown,Portuguese,Secondary education,133,Yes,Graduate,Yes,9.4
118,19,1st phase - general contingent,4,Social Service,0,0,6,0,0,0,0,0,6,0,0,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,-1.7,Female,3.7,No,Single,Installation and Machine Operators and Assembly Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133.1,No,Dropout,Yes,12.7
135.9,19,1st phase - general contingent,1,Social Service,5,0,6,11,11.6,0,6,0,6,11,11.66666667,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,0.32,Female,2.6,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,138,No,Enrolled,Yes,7.6
115,19,1st phase - general contingent,1,Social Service,4,0,6,10,10.25,0,6,0,6,8,10.71428571,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,2.02,Female,0.6,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,123,No,Graduate,Yes,11.1
121.8,18,1st phase - general contingent,1,Social Service,5,0,6,7,10.2,0,4,0,6,9,11.25,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.79,Female,0.5,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,133,Yes,Graduate,Yes,12.4
140.7,18,1st phase - general contingent,2,Social Service,6,0,6,6,13.16666667,0,6,0,6,6,16,0,Daytime,No,Yes,No,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,140,Yes,Graduate,Yes,10.8
107,19,1st phase - general contingent,1,Social Service,5,0,6,11,10.6,0,6,0,6,10,11.71428571,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,2.02,Female,0.6,No,Single,Administrative staff,Other - 11th Year of Schooling,Portuguese,Secondary education,133.1,No,Dropout,Yes,11.1
136.1,18,1st phase - general contingent,1,Social Service,6,0,6,6,14,0,6,0,6,6,13.66666667,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.79,Female,0.5,No,Single,Intermediate Level Technicians and Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,135,Yes,Graduate,Yes,12.4
376.5,62,1st phase - general contingent,4,Social Service,18,0,18,23,37.28571429,0,18,0,18,20,39.11904762,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,5.32,Female,2.4,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,422.1,Yes,Graduate,Yes,35.6
111.8,19,1st phase - general contingent,1,Social Service,4,0,6,9,11.5,0,3,0,6,12,11,0,Daytime,No,Yes,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,3.51,Male,1.4,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,117,No,Dropout,Yes,8.9
135.9,18,1st phase - general contingent,1,Social Service,5,0,6,8,13.2,0,6,0,6,6,11.33333333,0,Daytime,No,Yes,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,131,No,Graduate,Yes,9.4
138.4,20,1st phase - general contingent,1,Social Service,6,0,6,8,14.25,0,6,0,6,8,11,0,Daytime,No,Yes,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,-1.7,Female,3.7,No,Single,Unskilled Workers,Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,151,Yes,Graduate,Yes,12.7
144.4,20,1st phase - general contingent,1,Social Service,6,0,6,7,13.5,0,6,0,6,6,13,0,Daytime,No,Yes,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,143,No,Graduate,Yes,10.8
100,22,1st phase - general contingent,3,Social Service,4,0,6,6,11.25,0,3,0,6,7,11,0,Daytime,No,Yes,No,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,3.51,Male,1.4,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133.1,No,Enrolled,Yes,8.9
133.6,18,1st phase - general contingent,1,Social Service,5,0,6,9,11.4,0,5,0,6,8,10.8,0,Daytime,No,Yes,No,Unskilled Workers,Unknown,-3.12,Female,-0.8,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,143,No,Graduate,Yes,9.4
122.6,18,1st phase - general contingent,4,Social Service,5,0,6,9,11.83333333,0,2,0,6,8,11.5,0,Daytime,No,Yes,Yes,"Personal Services, Security and Safety Workers and Sellers",Secondary Education - 12th Year of Schooling or Equivalent,0.79,Female,-0.3,No,Single,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,Portuguese,Secondary education,125,No,Enrolled,Yes,13.9
156.5,18,1st phase - general contingent,1,Social Service,6,0,6,8,11.71428571,0,6,0,6,6,14.66666667,0,Daytime,No,Yes,Yes,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,-1.7,Female,3.7,No,Single,Unskilled Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,154,Yes,Graduate,Yes,12.7
121,18,1st phase - general contingent,1,Social Service,5,0,6,10,10.6,0,2,0,6,14,10,0,Daytime,Yes,No,No,Armed Forces Professions,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,0.32,Female,2.6,No,Single,"Personal Services, Security and Safety Workers and Sellers",Basic education 1st cycle (4th/5th year) or equivalent,Portuguese,Secondary education,135,No,Enrolled,Yes,7.6
110,23,1st phase - general contingent,1,Social Service,6,0,6,8,12.625,0,6,0,6,6,14.16666667,0,Daytime,Yes,No,No,Armed Forces Professions,Secondary Education - 12th Year of Schooling or Equivalent,-1.7,Female,3.7,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,133.1,No,Graduate,Yes,12.7
130.9,18,1st phase - general contingent,1,Social Service,6,0,6,10,11.85714286,0,5,0,6,9,11,0,Daytime,Yes,No,No,Farmers and Skilled Agriculture/Fisheries/Forestry Workers,Secondary Education - 12th Year of Schooling or Equivalent,0.79,Female,-0.3,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,134,No,Graduate,Yes,13.9
129.4,18,1st phase - general contingent,5,Social Service,6,0,6,6,12.16666667,0,6,0,6,6,12.33333333,0,Daytime,Yes,No,No,Intermediate Level Technicians and Professions,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Higher education - degree,135,No,Graduate,Yes,10.8
118,20,1st phase - general contingent,1,Social Service,5,0,6,7,11.4,0,6,0,6,9,11.5,0,Daytime,Yes,No,No,"Unskilled agriculture, animal production, fisheries workers",Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,3.51,Female,1.4,No,Single,Cleaning workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,Portuguese,Secondary education,133.1,Yes,Graduate,Yes,8.9
129.3,19,1st phase - general contingent,1,Social Service,3,0,6,11,11,0,4,0,6,9,11.25,0,Daytime,Yes,No,No,Unskilled Workers,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,1.74,Female,1.4,No,Single,Unskilled Workers,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,145,Yes,Graduate,Yes,10.8
122.1,19,1st phase - general contingent,1,Social Service,4,0,6,6,11.5,0,5,0,6,6,11,0,Daytime,Yes,No,Yes,Farmers and Skilled Agriculture/Fisheries/Forestry Workers,Basic Education 2nd Cycle (6th/7th/8th Year) or Equivalent,3.51,Male,1.4,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,135,No,Dropout,No,8.9
127.3,20,1st phase - general contingent,1,Social Service,6,0,6,6,12.16666667,0,6,0,6,7,11.66666667,0,Daytime,Yes,Yes,No,Administrative staff,Basic Education 3rd Cycle (9th/10th/11th Year) or Equivalent,-3.12,Female,-0.8,No,Single,Administrative staff,Secondary Education - 12th Year of Schooling or Equivalent,Portuguese,Secondary education,122,No,Graduate,Yes,9.4
